GII.rank,Country,GII,Mat.Mor,Ado.Birth,Parli.F,Edu2.F,Edu2.M,Labo.F,Labo.M,Edu2.FM,Labo.FM,HDI.rank,HDI,Life.Exp,Edu.Exp,Edu.mean,GNI,GNI.HDI
14,Sweden,0.055,4,6.5,43.6,86.5,87.3,60.3,67.9,0.9908361970217641,0.8880706921944034,14,0.907,82.2,15.8,12.1,45636,-1
14,United Kingdom,0.177,8,25.8,23.5,99.8,99.9,55.7,68.7,0.9989989989989989,0.8107714701601164,14,0.907,80.7,16.2,13.1,39267,9
16,Iceland,0.087,4,11.5,41.3,91,91.6,70.5,77.4,0.9934497816593887,0.9108527131782945,16,0.899,82.6,19,10.6,35182,12
17,Korea (Republic of),0.125,27,2.2,16.3,77,89.1,50.1,72.1,0.8641975308641976,0.694868238557559,17,0.898,81.9,16.9,11.9,33890,13
18,Israel,0.101,2,7.8,22.5,84.4,87.3,57.9,69.1,0.9667812142038947,0.8379160636758322,18,0.894,82.4,16,12.5,30676,16
19,Luxembourg,0.1,11,8.3,28.3,100,100,50.7,64.6,1,0.7848297213622292,19,0.892,81.7,13.9,11.7,58711,-11
20,Japan,0.133,6,5.4,11.6,87,85.8,48.8,70.4,1.013986013986014,0.6931818181818181,20,0.891,83.5,15.3,11.5,36927,7
21,Belgium,0.063,6,6.7,42.4,77.5,82.9,47.5,59.3,0.9348612786489746,0.8010118043844857,21,0.89,80.8,16.3,11.3,41187,0
22,France,0.088,12,5.7,25.7,78,83.2,50.7,61.6,0.9375,0.823051948051948,22,0.888,82.2,16,11.1,38056,4
23,Austria,0.053,4,4.1,30.3,100,100,54.6,67.7,1,0.8064992614475628,23,0.885,81.4,15.7,10.8,43869,-5
24,Finland,0.075,4,9.2,42.5,100,100,55.7,64,1,0.8703125,24,0.883,80.8,17.1,10.3,38695,0
25,Slovenia,0.016,7,0.6,27.7,95.8,98,52.3,63.2,0.9775510204081632,0.8275316455696202,25,0.88,80.4,16.8,11.9,27852,12
26,Spain,0.095,4,10.6,38,66.8,73.1,52.5,65.8,0.9138166894664843,0.7978723404255319,26,0.876,82.6,17.3,9.6,32045,7
27,Italy,0.068,4,4,30.1,71.2,80.5,39.6,59.5,0.884472049689441,0.665546218487395,27,0.873,83.1,16,10.1,33030,4
28,Czech Republic,0.091,5,4.9,18.9,99.9,99.7,51.1,68.3,1.0020060180541626,0.7481698389458273,28,0.87,78.6,16.4,12.3,26660,10
29,Greece,0.146,5,11.9,21,59.5,67,44.2,62.5,0.8880597014925373,0.7072,29,0.865,80.9,17.6,10.3,24524,14
30,Estonia,0.164,11,16.8,19.8,100,100,56.2,68.9,1,0.8156748911465892,30,0.861,76.8,16.5,12.5,25214,12
31,Brunei Darussalam,NA,27,23,NA,63.9,67.8,52.6,75.3,0.9424778761061947,0.6985391766268261,31,0.856,78.8,14.5,8.8,72570,-26
32,Cyprus,0.124,10,5.5,12.5,76,81.7,56,71.1,0.9302325581395349,0.7876230661040788,32,0.85,80.2,14,11.6,28633,3
32,Qatar,0.524,6,9.5,0,66.7,59,50.8,95.5,1.1305084745762712,0.5319371727748691,32,0.85,78.2,13.8,9.1,123124,-31
34,Andorra,NA,NA,NA,50,49.5,49.3,NA,NA,1.004056795131846,NA,34,0.845,81.3,13.5,9.6,43978,-18
35,Slovakia,0.164,7,15.9,18.7,99.1,99.5,51.1,68.6,0.9959798994974873,0.7448979591836735,35,0.844,76.3,15.1,12.2,25845,5
36,Poland,0.138,3,12.2,22.1,79.4,85.5,48.9,64.9,0.928654970760234,0.7534668721109398,36,0.843,77.4,15.5,11.8,23177,10
37,Lithuania,0.125,11,10.6,23.4,89.1,94.3,55.8,67.3,0.9448568398727465,0.8291233283803863,37,0.839,73.3,16.4,12.4,24500,7
37,Malta,0.227,9,18.2,13,68.6,78.2,37.9,66.3,0.877237851662404,0.5716440422322775,37,0.839,80.6,14.4,10.3,27930,-1
39,Saudi Arabia,0.284,16,10.2,19.9,60.5,70.3,20.2,78.3,0.860597439544808,0.25798212005108556,39,0.837,74.3,16.3,8.7,52821,-27
40,Argentina,0.376,69,54.4,36.8,56.3,57.6,47.5,75,0.9774305555555555,0.6333333333333333,40,0.836,76.3,17.9,9.8,22050,11
41,United Arab Emirates,0.232,8,27.6,17.5,73.1,61.2,46.5,92,1.1944444444444442,0.5054347826086957,41,0.835,77,13.3,9.5,60868,-34
42,Chile,0.338,22,55.3,15.8,73.3,76.4,49.2,74.8,0.9594240837696334,0.6577540106951872,42,0.832,81.7,15.2,9.8,21290,11
43,Portugal,0.111,8,12.6,31.3,47.7,48.2,54.9,66.2,0.9896265560165975,0.8293051359516616,43,0.83,80.9,16.3,8.2,25757,-2
44,Hungary,0.209,14,12.1,10.1,97.9,98.7,44.8,60,0.9918946301925026,0.7466666666666666,44,0.828,75.2,15.4,11.6,22916,3
45,Bahrain,0.265,22,13.8,15,56.7,51.4,39.2,86.9,1.1031128404669261,0.45109321058688145,45,0.824,76.6,14.4,9.4,38599,-20
46,Latvia,0.167,13,13.5,18,98.9,99,54.9,67.6,0.9989898989898991,0.812130177514793,46,0.819,74.2,15.2,11.5,22281,4
47,Croatia,0.149,13,12.7,25.8,85,93.6,44.7,58.4,0.9081196581196582,0.7654109589041097,47,0.818,77.3,14.8,11,19409,11
48,Kuwait,0.387,14,14.5,1.5,55.6,56.3,43.6,83.1,0.9875666074600356,0.5246690734055356,48,0.816,74.4,14.7,7.2,83961,-46
49,Montenegro,0.171,7,15.2,17.3,84.2,94.7,43,57.3,0.8891235480464625,0.7504363001745201,49,0.802,76.2,15.2,11.2,14558,27
50,Belarus,0.151,1,20.6,30.1,87,92.2,50.1,63.1,0.9436008676789588,0.7939778129952456,50,0.798,71.3,15.7,12,16676,14
